"","Ma.Tinh","Ten.Tinh"
"1",1,"Ha Noi"
"2",2,"TP HCM"
"3",3,"Hai Phong"
"4",4,"Da Nang"
"5",5,"Ha Giang"
"6",6,"Cao Bang"
"7",7,"Lai Chau"
"8",8,"Lao Cai"
"9",9,"Tuyen Quang"
"10",10,"Lang Son"
"11",11,"Bac Kan"
"12",12,"Thai Nguyen"
"13",13,"Yen Bai"
"14",14,"Son La"
"15",15,"Phu Tho"
"16",16,"Vinh Phuc"
"17",17,"Quang Ninh"
"18",18,"Bac Giang"
"19",19,"Bac Ninh"
"20",21,"Hai Duong"
"21",22,"Hung Yen"
"22",23,"Hoa Binh"
"23",24,"Ha Nam"
"24",25,"Nam Dinh"
"25",26,"Thai Binh"
"26",27,"Ninh Binh"
"27",28,"Thanh Hoa"
"28",29,"Nghe An"
"29",30,"Ha Tinh"
"30",31,"Quang Binh"
"31",32,"Quang Tri"
"32",33,"TT-Hue"
"33",34,"Quang Nam"
"34",35,"Quang Ngai"
"35",36,"Kon Tum"
"36",37,"Binh Dinh"
"37",38,"Gia Lai"
"38",39,"Phu Yen"
"39",40,"Dak Lak"
"40",41,"Khanh Hoa"
"41",42,"Lam Dong"
"42",43,"Binh Phuoc "
"43",44,"Binh Duong"
"44",45,"Ninh Thuan"
"45",46,"Tay Ninh"
"46",47,"Binh Thuan"
"47",48,"Dong Nai"
"48",49,"Long An"
"49",50,"Dong Thap "
"50",51,"An Giang"
"51",52,"Ba Ria - Vung Tau"
"52",53,"Tien Giang"
"53",54,"Kien Giang"
"54",55,"Can Tho"
"55",56,"Ben Tre"
"56",57,"Vinh Long"
"57",58,"Tra Vinh"
"58",59,"Soc Trang"
"59",60,"Bac Lieu"
"60",61,"Ca Mau"
"61",62,"Dien Bien"
"62",63,"Dak Nong"
"63",64,"Hau Giang"
